"Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","B365H","B365D","B365A","BWH","BWD","BWA","IWH","IWD","IWA","LBH","LBD","LBA","season"
"SP1","03/04/10","Zaragoza","Malaga",2,0,"H",1,0,"H",15,8,6,3,9,14,8,3,3,4,0,0,1.85,3.4,4.2,1.9,3.4,3.8,1.85,3.4,4,1.8,3.3,3.75,"09/10"
"SP1","03/04/10","Sevilla","Tenerife",3,0,"H",2,0,"H",13,15,5,3,21,19,4,5,5,4,0,0,1.4,4.5,8,1.42,4.25,7,1.4,4.3,7.5,1.44,3.75,6,"09/10"
"SP1","03/04/10","Barcelona","Ath Bilbao",4,1,"H",2,0,"H",17,14,7,5,5,8,7,10,1,1,0,0,1.17,7,15,1.2,6.25,11.5,1.17,6.5,13,1.17,5.5,12,"09/10"
"SP1","29/03/10","Ath Bilbao","Santander",4,3,"H",2,1,"H",12,9,5,5,10,21,10,1,1,3,0,1,1.91,3.4,4,1.88,3.35,4,1.85,3.4,4,1.83,3.2,3.75,"09/10"
"SP1","28/03/10","Xerez","Valladolid",3,0,"H",2,0,"H",12,17,4,5,22,19,4,6,2,4,0,1,2.5,3.25,2.8,2.6,3.2,2.6,2.4,3.1,2.95,2.38,3.2,2.6,"09/10"
"SP1","28/03/10","Villarreal","Sevilla",3,0,"H",2,0,"H",14,9,8,6,10,15,9,3,2,3,0,0,2.25,3.3,3.2,2.15,3.3,3.2,2.3,3.3,2.9,2.25,3.2,2.75,"09/10"
"SP1","28/03/10","Real Madrid","Ath Madrid",3,2,"H",0,1,"A",32,10,8,3,22,16,7,2,3,1,0,0,1.3,5.25,10,1.3,5.3,8,1.3,4.8,9.5,1.33,4,8,"09/10"
"SP1","28/03/10","Osasuna","Almeria",1,0,"H",1,0,"H",21,9,11,2,17,20,7,4,3,2,0,1,2.2,3.3,3.3,2.15,3.2,3.3,2.1,3.25,3.4,2.1,3.2,3,"09/10"
"SP1","28/03/10","La Coruna","Getafe",1,3,"A",0,2,"A",14,21,6,9,4,8,8,6,0,4,0,0,2.1,3.3,3.5,2,3.3,3.6,2,3.3,3.6,2,3.2,3.2,"09/10"
"SP1","28/03/10","Espanol","Sp Gijon",0,0,"D",0,0,"D",15,6,1,3,14,18,11,0,1,0,0,0,1.91,3.4,4,2,3.3,3.6,1.9,3.3,3.9,1.83,3.3,3.6,"09/10"
"SP1","27/03/10","Zaragoza","Valencia",3,0,"H",1,0,"H",20,9,6,3,19,19,6,5,4,4,0,1,2.9,3.3,2.38,3,3.2,2.3,3.1,3.3,2.2,2.8,3.2,2.2,"09/10"
"SP1","27/03/10","Mallorca","Barcelona",0,1,"A",0,0,"D",10,7,2,5,29,21,4,8,4,3,0,0,7.5,4.2,1.44,6.25,4.25,1.45,6.2,4,1.5,6.5,4,1.4,"09/10"
"SP1","27/03/10","Malaga","Tenerife",1,1,"D",0,0,"D",7,14,1,4,15,14,5,2,2,2,1,0,1.91,3.4,4,1.88,3.6,3.7,1.85,3.4,4,1.8,3.3,3.75,"09/10"
"SP1","25/03/10","Getafe","Real Madrid",2,4,"A",1,4,"A",10,21,4,10,9,11,6,8,3,2,0,0,9,4.75,1.36,7.25,4.75,1.37,7,4.5,1.4,6.5,4,1.4,"09/10"
"SP1","25/03/10","Ath Madrid","Ath Bilbao",2,0,"H",0,0,"D",15,17,6,5,16,15,7,7,1,4,0,0,1.85,3.5,4,1.75,3.7,4.2,1.85,3.5,3.8,1.8,3.3,3.75,"09/10"
"SP1","24/03/10","Valladolid","Espanol",0,0,"D",0,0,"D",8,9,0,1,13,17,4,7,4,2,1,1,2.25,3.3,3.2,2.2,3.2,3.2,2.1,3.3,3.35,2.2,3.2,2.8,"09/10"
"SP1","24/03/10","Valencia","Malaga",1,0,"H",1,0,"H",14,5,4,0,17,20,9,4,3,5,0,0,1.5,4,7,1.45,4.25,6.5,1.5,3.9,6.5,1.44,3.75,6,"09/10"
"SP1","24/03/10","Tenerife","Villarreal",2,2,"D",0,1,"A",10,14,4,7,23,17,9,4,3,4,0,0,2.88,3.3,2.4,2.85,3.3,2.35,2.8,3.3,2.4,2.5,3.25,2.4,"09/10"
"SP1","24/03/10","Santander","Mallorca",0,0,"D",0,0,"D",10,13,4,4,15,22,7,7,1,1,0,0,2.35,3.3,3,2.35,3.25,2.9,2.4,3.3,2.8,2.25,3.2,2.75,"09/10"
"SP1","24/03/10","Barcelona","Osasuna",2,0,"H",0,0,"D",16,3,5,1,12,22,8,3,4,2,0,0,1.13,8,19,1.12,7.5,18.5,1.15,7,13,1.12,6.5,13,"09/10"
"SP1","24/03/10","Almeria","Zaragoza",1,0,"H",0,0,"D",11,14,3,4,14,22,5,5,3,4,0,0,2.05,3.3,3.6,2,3.4,3.5,2.2,3.3,3.1,1.91,3.25,3.4,"09/10"
"SP1","23/03/10","Sp Gijon","La Coruna",2,1,"H",1,0,"H",21,10,8,3,14,8,7,6,2,2,0,2,2.4,3.3,2.88,2.45,3.2,2.8,2.5,3.3,2.65,2.38,3.2,2.6,"09/10"
